               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.1100001          1.293533         0.4592202          1.301974          16.61069          0.000000        -0.9974023E-01      54.03142          54.03142          295.2866          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8259195E+08      0.000000         0.3533503E-02      0.000000        -0.1626707E-04      1.000000          1.000000    
      2.000000         0.1100000         0.6995798        -0.1187783          1.900182          2.072599          0.000000        -0.1530441E-02      6.644583          6.644583          295.9748          300.0000         0.9000000          10.00000          0.000000          0.000000          153603.7          0.000000         0.9054979E-12      0.000000        -0.4421376E-15      1.000000          1.000000    
      3.000000         0.1100001          1.627030        -0.3964360          1.745777          11.54226          0.000000        -0.4811395E-01      37.50996          37.50996          307.4280          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2763367E+08      0.000000         0.1707110E-07      0.000000        -0.4961465E-10      1.000000          1.000000    
      4.000000         0.1100003          1.765800         0.3830996          1.940432          20.13560          0.000000        -0.1467533          65.57210          65.57210          294.4348          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1476237E+09      0.000000         0.1603841          0.000000        -0.9337102E-03      1.000000          1.000000    
      5.000000         0.1100002          1.715460         0.4287577          1.724552          14.35103          0.000000        -0.7442298E-01      46.66490          46.66490          293.1744          300.0000         0.9000000          10.00000          0.000000          0.000000         0.5320709E+08      0.000000         0.6908236E-04      0.000000        -0.2644122E-06      1.000000          1.000000    
      6.000000         0.1100001          2.380529        -0.3006535          1.502723          22.47963          0.000000        -0.1835212          73.41527          73.41527          298.7940          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2071847E+09      0.000000         0.8672481          0.000000        -0.5784446E-02      1.000000          1.000000    
      7.000000         0.1100002          1.392372         0.4542221          1.192512          16.54316          0.000000        -0.9892980E-01      53.81118          53.81118          306.1882          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8158612E+08      0.000000         0.3204993E-02      0.000000        -0.1470709E-04      1.000000          1.000000    
      8.000000         0.1100002          1.609067        -0.3705401E-01      1.853895          18.03208          0.000000        -0.1175745          58.67068          58.67068          301.2152          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1057455E+09      0.000000         0.2108361E-01      0.000000        -0.1075135E-03      1.000000          1.000000    
      9.000000         0.1100000         0.4369908        -0.3949271          1.674058          7.475901          0.000000        -0.2015200E-01      24.25609          24.25609          303.1583          300.0000         0.9000000          10.00000          0.000000          0.000000          7472418.          0.000000         0.2414424E-10      0.000000        -0.9431345E-13      1.000000          1.000000    
      10.00000         0.1100000         0.6150507        -0.4050834          1.837919          9.450706          0.000000        -0.3223547E-01      30.69277          30.69277          302.3523          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1513933E+08      0.000000         0.7731416E-10      0.000000        -0.3020084E-12      1.000000          1.000000    
      11.00000         0.1100002          1.834856        -0.2842172          1.643245          18.21285          0.000000        -0.1199498          59.26152          59.26152          294.9416          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1089725E+09      0.000000         0.2578167E-01      0.000000        -0.1328730E-03      1.000000          1.000000    
      12.00000         0.1100000         0.5129484         0.2025804          1.728342          4.198682          0.000000        -0.6333811E-02      13.57433          13.57433          306.9469          300.0000         0.9000000          10.00000          0.000000          0.000000          1309646.          0.000000         0.7560175E-11      0.000000        -0.7382983E-14      1.000000          1.000000    
      13.00000         0.1100000        -0.6199742E-01    -0.8163253E-02      1.420598         0.6857733          0.000000        -0.1618989E-03      2.124368          2.124368          301.1345          300.0000         0.9000000          10.00000          0.000000          0.000000          5019.814          0.000000         0.2314815E-13      0.000000        -0.5651404E-17      1.000000          1.000000    
      14.00000         0.1100000          2.247757         0.1088942          1.679048          23.84528          0.000000        -0.2073296          78.14623          78.14623          307.4888          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2498749E+09      0.000000          1.932034          0.000000        -0.1387863E-01      1.000000          1.000000    
      15.00000         0.1100000         0.5017099         0.4626718          1.395579          1.219616          0.000000        -0.5237642E-03      3.864373          3.864373          298.7349          300.0000         0.9000000          10.00000          0.000000          0.000000          30215.91          0.000000         0.1529887E-12      0.000000        -0.7475574E-16      1.000000          1.000000    
      16.00000         0.1100002          1.718824         0.3864143          1.133061          21.32531          0.000000        -0.1648149          69.52153          69.52153          303.8551          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1759368E+09      0.000000         0.4000287          0.000000        -0.2502480E-02      1.000000          1.000000    
      17.00000         0.1100003          2.308225        -0.2703246          1.967246          28.02689          0.000000        -0.2957603          94.45999          94.45999          293.7972          300.0000         0.9000000          10.00000          0.000000          0.000000         0.4413086E+09      0.000000          14.03772          0.000000        -0.1253214          1.000000          1.000000    
      18.00000         0.1100001          2.287431         0.2912465          1.437279          24.15098          0.000000        -0.2129363          79.23064          79.23064          304.1698          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2604223E+09      0.000000          2.280689          0.000000        -0.1664725E-01      1.000000          1.000000    
      19.00000         0.1100001          1.104398         0.4694490          1.175399          5.776818          0.000000        -0.1201667E-01      18.71811          18.71811          306.7715          300.0000         0.9000000          10.00000          0.000000          0.000000          3433874.          0.000000         0.1437783E-10      0.000000        -0.2808170E-13      1.000000          1.000000    
      20.00000         0.1100003          1.610395        -0.3409950          1.811297          25.81817          0.000000        -0.2455860          85.37590          85.37590          298.2786          300.0000         0.9000000          10.00000          0.000000          0.000000         0.3258400E+09      0.000000          5.259750          0.000000        -0.4185950E-01      1.000000          1.000000    
