               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.2000002          3.779067        -0.3835470          1.191793          19.82343          0.000000        -0.1420964          64.50164          64.50164          308.0155          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1405112E+09      0.000000         0.1455757E-03      0.000000        -0.1395321E-05      1.000000          1.000000    
      2.000000         0.2000001          3.038303        -0.3444873          1.382226          13.22828          0.000000        -0.6322074E-01      43.00537          43.00537          295.9925          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.4164536E+08      0.000000         0.1517861E-09      0.000000        -0.1185885E-11      1.000000          1.000000    
      3.000000         0.2000003          3.903308        -0.3784152          1.831578          22.88177          0.000000        -0.1893705          74.47181          74.47181          301.9136          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.2162590E+09      0.000000         0.6363642E-02      0.000000        -0.6738281E-04      1.000000          1.000000    
      4.000000         0.2000000         0.4737448         0.4329185          1.397899         0.5019082          0.000000        -0.8506483E-04      1.525078          1.525078          297.9039          300.0000         0.5000000         -10.00000          0.000000          0.000000          1857.270          0.000000        -0.1190714E-13      0.000000        -0.1453509E-17      1.000000          1.000000    
      5.000000         0.2000000         0.2327869         0.4879640          1.773931          1.956652          0.000000        -0.1362648E-02      6.266666          6.266666          306.7897          300.0000         0.5000000         -10.00000          0.000000          0.000000          128857.1          0.000000        -0.4027889E-12      0.000000        -0.3933485E-15      1.000000          1.000000    
      6.000000         0.2000001          3.387432         0.4957506          1.800369          16.67479          0.000000        -0.1005091          54.23893          54.23893          298.0002          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.8354722E+08      0.000000         0.3188765E-06      0.000000        -0.2744871E-08      1.000000          1.000000    
      7.000000         0.2000002          2.450799         0.1621694          1.180824          10.67687          0.000000        -0.4115982E-01      34.68932          34.68932          294.2252          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.2185678E+08      0.000000         0.9876544E-10      0.000000        -0.3858025E-12      1.000000          1.000000    
      8.000000         0.2000003          3.777280        -0.3924556          1.490973          21.46728          0.000000        -0.1666626          69.85996          69.85996          300.3720          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1785187E+09      0.000000         0.1340077E-02      0.000000        -0.1356084E-04      1.000000          1.000000    
      9.000000         0.2000001         0.7207523        -0.9963199E-01      1.849412          5.201482          0.000000        -0.9735908E-02      16.84286          16.84286          298.3634          300.0000         0.5000000         -10.00000          0.000000          0.000000          2501761.          0.000000         0.1164047E-10      0.000000        -0.2273529E-13      1.000000          1.000000    
      10.00000         0.2000003          3.912361         0.2983019          1.777342          19.73149          0.000000        -0.1407803          64.20197          64.20197          304.6554          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1385619E+09      0.000000         0.1265662E-03      0.000000        -0.1209373E-05      1.000000          1.000000    
