               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.1000003          1.796940        -0.3835470          1.206001          19.80853          0.000000        -0.1419536          64.50164          64.50164          308.0155          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1405112E+09      0.000000         0.1446651          0.000000        -0.1386593E-02      1.000000          1.000000    
      2.000000         0.1000002          1.715476        -0.3444873          1.388548          13.22827          0.000000        -0.6322073E-01      43.00537          43.00537          295.9925          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.4164536E+08      0.000000         0.9744862E-05      0.000000        -0.7486546E-07      1.000000          1.000000    
      3.000000         0.1000003          1.617008        -0.3784152          1.850495          22.78153          0.000000        -0.1883090          74.47181          74.47181          301.9136          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.2162590E+09      0.000000          1.128955          0.000000        -0.1195418E-01      1.000000          1.000000    
      4.000000         0.1000000         0.4235539         0.4329185          1.397907         0.5019082          0.000000        -0.8506483E-04      1.525078          1.525078          297.9039          300.0000         0.5000000         -10.00000          0.000000          0.000000          1857.270          0.000000        -0.1190714E-13      0.000000        -0.1453509E-17      1.000000          1.000000    
      5.000000         0.1000000         0.3712176E-01     0.4879640          1.774067          1.956652          0.000000        -0.1362648E-02      6.266666          6.266666          306.7897          300.0000         0.5000000         -10.00000          0.000000          0.000000          128857.1          0.000000        -0.4027889E-12      0.000000        -0.3933485E-15      1.000000          1.000000    
      6.000000         0.1000003          1.719964         0.4957506          1.810420          16.67412          0.000000        -0.1005032          54.23893          54.23893          298.0002          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.8354722E+08      0.000000         0.5509069E-02      0.000000        -0.4742180E-04      1.000000          1.000000    
      7.000000         0.1000000          1.383111         0.1621694          1.184940          10.67687          0.000000        -0.4115982E-01      34.68932          34.68932          294.2252          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.2185678E+08      0.000000         0.1328992E-08      0.000000        -0.9624773E-11      1.000000          1.000000    
      8.000000         0.1000000          1.631310        -0.3924556          1.507631          21.42157          0.000000        -0.1662001          69.85996          69.85996          300.3720          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1785187E+09      0.000000         0.4814962          0.000000        -0.4872475E-02      1.000000          1.000000    
      9.000000         0.1000001         0.2006042        -0.9963199E-01      1.850385          5.201482          0.000000        -0.9735908E-02      16.84286          16.84286          298.3634          300.0000         0.5000000         -10.00000          0.000000          0.000000          2501761.          0.000000         0.1164047E-10      0.000000        -0.2273529E-13      1.000000          1.000000    
      10.00000         0.1000001          1.939405         0.2983019          1.791418          19.71760          0.000000        -0.1406476          64.20197          64.20197          304.6554          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1385619E+09      0.000000         0.1341602          0.000000        -0.1281935E-02      1.000000          1.000000    
      11.00000         0.1000003          2.010670         0.4338419          1.608465          28.82498          0.000000        -0.3109795          97.92842          97.92842          296.0396          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.4917279E+09      0.000000          18.47298          0.000000        -0.2410817          1.000000          1.000000    
      12.00000         0.1000000          2.310867         0.4650681          1.072302          29.18108          0.000000        -0.3199831          99.61438          99.61438          299.8588          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.5175647E+09      0.000000          21.20639          0.000000        -0.2805769          1.000000          1.000000    
      13.00000         0.1000002          2.075438        -0.3069451          1.307272          20.79060          0.000000        -0.1564691          67.75298          67.75298          307.5792          300.0000         0.5000000         -10.00000          0.000000          0.000000         0.1628485E+09      0.000000         0.3094484          0.000000        -0.3065970E-02      1.000000          1.000000    
