               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.5000029E-01     0.2984782         0.4592202          1.307951          16.45240          0.000000        -0.9901154E-01      54.03142          54.03142          295.2866          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8259195E+08      0.000000          1.288919          0.000000        -0.5933752E-02      1.000000          1.000000    
      2.000000         0.5000003E-01     0.5752239        -0.1187783          1.900273          2.072599          0.000000        -0.1530441E-02      6.644583          6.644583          295.9748          300.0000         0.9000000          10.00000          0.000000          0.000000          153603.7          0.000000         0.9054979E-12      0.000000        -0.4421376E-15      1.000000          1.000000    
      3.000000         0.5000011E-01     0.9344981        -0.3964360          1.748664          11.54164          0.000000        -0.4811215E-01      37.50996          37.50996          307.4280          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2763367E+08      0.000000         0.3495235E-02      0.000000        -0.1015820E-04      1.000000          1.000000    
      4.000000         0.5000005E-01     0.5698325         0.3830996          1.949166          19.25748          0.000000        -0.1416411          65.57210          65.57210          294.4348          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1476237E+09      0.000000          8.817527          0.000000        -0.5133312E-01      1.000000          1.000000    
      5.000000         0.5000005E-01     0.8545980         0.4287577          1.729017          14.32429          0.000000        -0.7432066E-01      46.66490          46.66490          293.1744          300.0000         0.9000000          10.00000          0.000000          0.000000         0.5320709E+08      0.000000         0.1875132          0.000000        -0.7177055E-03      1.000000          1.000000    
      6.000000         0.5000026E-01      1.061630        -0.3006535          1.513535          20.63667          0.000000        -0.1712288          73.41527          73.41527          298.7940          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2071847E+09      0.000000          21.21341          0.000000        -0.1414910          1.000000          1.000000    
      7.000000         0.5000005E-01     0.4012826         0.4542221          1.198441          16.39184          0.000000        -0.9823541E-01      53.81118          53.81118          306.1882          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8158612E+08      0.000000          1.227023          0.000000        -0.5630572E-02      1.000000          1.000000    
      8.000000         0.5000006E-01     0.5312391        -0.3705401E-01      1.860928          17.67824          0.000000        -0.1157702          58.67068          58.67068          301.2152          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1057455E+09      0.000000          3.141745          0.000000        -0.1602098E-01      1.000000          1.000000    
      9.000000         0.5000001E-01    -0.1156327E-01    -0.3949271          1.675267          7.475901          0.000000        -0.2015200E-01      24.25609          24.25609          303.1583          300.0000         0.9000000          10.00000          0.000000          0.000000          7472418.          0.000000         0.1229207E-08      0.000000        -0.1982428E-11      1.000000          1.000000    
      10.00000         0.5000009E-01     0.4800898E-01    -0.4050834          1.839853          9.450703          0.000000        -0.3223546E-01      30.69277          30.69277          302.3523          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1513933E+08      0.000000         0.1649464E-04      0.000000        -0.3675007E-07      1.000000          1.000000    
      11.00000         0.5000010E-01     0.7466505        -0.2842172          1.650419          17.82521          0.000000        -0.1179519          59.26152          59.26152          294.9416          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1089725E+09      0.000000          3.479039          0.000000        -0.1793019E-01      1.000000          1.000000    
      12.00000         0.5000003E-01     0.2610275         0.2025804          1.728723          4.198682          0.000000        -0.6333811E-02      13.57433          13.57433          306.9469          300.0000         0.9000000          10.00000          0.000000          0.000000          1309646.          0.000000         0.7560175E-11      0.000000        -0.7382983E-14      1.000000          1.000000    
      13.00000         0.5000000E-01    -0.1031438        -0.8163253E-02      1.420608         0.6857733          0.000000        -0.1618989E-03      2.124368          2.124368          301.1345          300.0000         0.9000000          10.00000          0.000000          0.000000          5019.814          0.000000         0.2314815E-13      0.000000        -0.5651404E-17      1.000000          1.000000    
      14.00000         0.5000024E-01     0.8624418         0.1088942          1.691162          21.24629          0.000000        -0.1886600          78.14623          78.14623          307.4888          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2498749E+09      0.000000          32.47629          0.000000        -0.2332912          1.000000          1.000000    
      15.00000         0.5000002E-01     0.4285329         0.4626718          1.395611          1.219616          0.000000        -0.5237642E-03      3.864373          3.864373          298.7349          300.0000         0.9000000          10.00000          0.000000          0.000000          30215.91          0.000000         0.1529887E-12      0.000000        -0.7475574E-16      1.000000          1.000000    
      16.00000         0.5000005E-01     0.4591227         0.3864143          1.142826          20.01131          0.000000        -0.1565949          69.52153          69.52153          303.8551          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1759368E+09      0.000000          14.13583          0.000000        -0.8843028E-01      1.000000          1.000000    
      17.00000         0.5000053E-01     0.7484456        -0.2703246          1.983904          22.19586          0.000000        -0.2437040          94.45999          94.45999          293.7972          300.0000         0.9000000          10.00000          0.000000          0.000000         0.4413086E+09      0.000000          96.89231          0.000000        -0.8650036          1.000000          1.000000    
      18.00000         0.5000050E-01     0.8878436         0.2912465          1.449694          21.36249          0.000000        -0.1925826          79.23064          79.23064          304.1698          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2604223E+09      0.000000          35.50740          0.000000        -0.2591763          1.000000          1.000000    
      19.00000         0.5000004E-01     0.7577884         0.4694490          1.176120          5.776818          0.000000        -0.1201667E-01      18.71811          18.71811          306.7715          300.0000         0.9000000          10.00000          0.000000          0.000000          3433874.          0.000000         0.1437783E-10      0.000000        -0.2808170E-13      1.000000          1.000000    
