               idx              time               r_x               r_y               r_z               v_x               v_y               v_z            d_core           d_shell             T_par             T_env             humid              vw_x              vw_y              vw_z               m_c               m_s               f_x               f_y               f_z              core            active
      1.000000         0.3400002          5.114088         0.4592202          1.279033          16.61113          0.000000        -0.9974223E-01      54.03142          54.03142          295.2866          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8259195E+08      0.000000         0.4792184E-09      0.000000        -0.1871947E-11      1.000000          1.000000    
      2.000000         0.3400000          1.176278        -0.1187783          1.899830          2.072599          0.000000        -0.1530441E-02      6.644583          6.644583          295.9748          300.0000         0.9000000          10.00000          0.000000          0.000000          153603.7          0.000000         0.9054979E-12      0.000000        -0.4421376E-15      1.000000          1.000000    
      3.000000         0.3400000          4.281749        -0.3964360          1.734711          11.54226          0.000000        -0.4811395E-01      37.50996          37.50996          307.4280          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2763367E+08      0.000000         0.1154774E-09      0.000000        -0.4510836E-12      1.000000          1.000000    
      4.000000         0.3400004          6.400487         0.3830996          1.906658          20.15187          0.000000        -0.1468480          65.57210          65.57210          294.4348          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1476237E+09      0.000000         0.3423884E-07      0.000000        -0.1993601E-09      1.000000          1.000000    
      5.000000         0.3400002          5.016199         0.4287577          1.707435          14.35104          0.000000        -0.7442302E-01      46.66490          46.66490          293.1744          300.0000         0.9000000          10.00000          0.000000          0.000000         0.5320709E+08      0.000000         0.1787299E-09      0.000000        -0.1396327E-11      1.000000          1.000000    
      6.000000         0.3400003          7.567445        -0.3006535          1.460403          22.55819          0.000000        -0.1840451          73.41527          73.41527          298.7940          300.0000         0.9000000          10.00000          0.000000          0.000000         0.2071847E+09      0.000000         0.4127301E-05      0.000000        -0.2752863E-07      1.000000          1.000000    
      7.000000         0.3400000          5.197383         0.4542221          1.169758          16.54356          0.000000        -0.9893162E-01      53.81118          53.81118          306.1882          300.0000         0.9000000          10.00000          0.000000          0.000000         0.8158612E+08      0.000000         0.4753247E-09      0.000000        -0.1856737E-11      1.000000          1.000000    
      8.000000         0.3400003          5.756970        -0.3705401E-01      1.826850          18.03448          0.000000        -0.1175867          58.67068          58.67068          301.2152          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1057455E+09      0.000000         0.5650236E-09      0.000000        -0.2207123E-11      1.000000          1.000000    
      9.000000         0.3400001          2.156449        -0.3949271          1.669423          7.475901          0.000000        -0.2015200E-01      24.25609          24.25609          303.1583          300.0000         0.9000000          10.00000          0.000000          0.000000          7472418.          0.000000         0.2414424E-10      0.000000        -0.9431345E-13      1.000000          1.000000    
      10.00000         0.3400001          2.788714        -0.4050834          1.830505          9.450706          0.000000        -0.3223547E-01      30.69277          30.69277          302.3523          300.0000         0.9000000          10.00000          0.000000          0.000000         0.1513933E+08      0.000000         0.7731416E-10      0.000000        -0.3020084E-12      1.000000          1.000000    
